"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"UNITED STATES OF AMERICA","TWENTYNINE PALMS/NAAS CA","72000","00093121","1961-1989","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","JACKSON/WSO KY","72000","00154202","1981-1990","","Median Value","cm","14.5","","16.3","","3.8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","8.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BATON ROUGE/WSO AP LA","72000","00160549","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WORCESTER/WSO AP MA","72000","00199923","1961-1990","","Median Value","cm","41.4","","35.8","","19.8","","4.1","",".0","",".0","",".0","",".0","",".0","",".0","","3.3","","33.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GULFPORT/MUNICIPAL ARPT MS","72000","00223671","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ELKO/MUNICIPAL ARPT NV","72000","00262573","1961-1990","","Median Value","cm","21.8","","12.7","","10.9","","5.1","",".3","",".0","",".0","",".0","",".0","","88888.8","1","10.4","","19.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NEW YORK CENTRAL PARK, NY","72000","00305801","1962-1990","","Median Value","cm","18.3","","15.5","","6.9","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","6.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WILMINGTON WSO AP, NC","72000","00319457","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MANSFIELD WSO AP, OH","72000","00334865","1961-1990","","Median Value","cm","23.6","","25.1","","15.0","","2.3","",".0","",".0","",".0","",".0","",".0","","88888.8","1","4.8","","20.6","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","HARRISBURG/CAPITAL CI AP PA","72000","00363699","1961-1990","","Median Value","cm","23.1","","23.6","","11.7","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","1.3","","11.2","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BRISTOL/TRI CITY, TN","72000","00401094","1961-1990","","Median Value","cm","16.8","","13.0","","1.8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","6.9","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","OAK RIDGE, TN","72000","00406750","1962-1990","","Median Value","cm","9.9","","9.7","",".8","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","1.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SEATTLE NMFC, WA","72000","00457458","1961-1990","","Median Value","cm",".8","","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","KEY WEST/INTL, FL","72201","00084570","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MIAMI, FL","72202","00085663","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WEST PALM BEACH/INTL, FL","72203","00089525","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ORLANDO/JETPORT, FL","72205","00086628","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","JACKSONVILLE/WSO AP FL","72206","00084358","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAVANNAH/MUNICIPAL, GA","72207","00097847","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHARLESTON/MUNICIPAL, SC","72208","00381544","1961-1990","","Median Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TAMPA/INT'L ARPT FL","72211","00088788","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TALLAHASSEE/MUNICIPAL, FL","72214","00088758","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MACON/LEWIS B WILSON ARPT GA","72217","00095443","1961-1990","","Median Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","AUGUSTA/BUSH FIELD, GA","72218","00090495","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ATLANTA/HARTSFIELD INTL AP GA","72219","00090451","1961-1990","","Median Value","cm",".3","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PENSACOLA FAA AP, FL","72222","00086997","1962-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MOBILE/WSO AIRPORT AL","72223","00015478","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MONTGOMERY AL","72226","00015550","1961-1990","","Median Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BIRMINGHAM/MUNICIPAL ARPT AL","72228","00010831","1961-1990","","Median Value","cm","88888.8","1","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NEW ORLEANS, LA","72231","00166660","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MERIDIAN/KEY FEILD, MS","72234","00225776","1961-1990","","Median Value","cm","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","JACKSON/THOMPSON FIELD MS","72235","00224472","1963-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LAKE CHARLES/WSO AP LA","72240","00165078","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PORT ARTHUR, TX","72241","00417174","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GALVESTON, TX","72242","00413430","1963-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","HOUSTON/INTERCONTINENTAL, TX","72243","00414300","1969-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SHREVEPORT/WSO AP LA","72248","00168440","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","BROWNSVILLE/INTL, TX","72250","00411136","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CORPUS CHRISTI/INTL, TX","72251","00412015","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN ANTONIO/INTL, TX","72253","00417945","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","AUSTIN/MUNICIPAL AP TX","72254","00410428","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","VICTORIA/REGIONAL AP TX","72255","00419364","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WACO/MADISON-COOPER ARPT TX","72256","00419419","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","FORT WORTH/GREATER SW INT'L A,TX","72259","00412242","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","DEL RIO/INT'L ARPT TX","72261","00412360","1963-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN ANGELO/MATHIS, TX","72263","00417943","1961-1990","","Median Value","cm",".8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MIDLAND/WSO AP TX","72265","00415890","1961-1990","","Median Value","cm","1.5","",".3","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ABILENE/MUNICIPAL ARPT TX","72266","00410016","1961-1990","","Median Value","cm","1.0","","2.0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LUBBOCK/REGIONAL ARPT TX","72267","00415411","1961-1990","","Median Value","cm","2.0","","5.8","",".3","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","2.5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ROSWELL/INDUSTRIAL AIR PARK NM","72268","00297610","1973-1990","","Median Value","cm","5.6","","4.6","","1.3","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","3.3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","EL PASO/INT'L ARPT TX","72270","00412797","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","TUCSON/INT'L ARPT AZ","72274","00028820","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","PHOENIX/SKY HARBOR INTL, AZ","72278","00026481","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","YUMA/INT'L ARPT AZ","72280","00029660","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN DIEGO/LINDBERGH FIELD CA","72290","00047740","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","SAN NICOLAS ISLAND, CA","72291","00047870","1962-1989","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LOS ANGELES/INTL, CA","72295","00045114","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","LONG BEACH/WSCMO CA","72297","00045085","1961-1990","","Median Value","cm",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CAPE HATTERAS, NC","72304","00311458","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","RALEIGH/RALEIGH-DURHAM, NC","72306","00317069","1961-1990","","Median Value","cm","1.0","","2.8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NORFOLK/INTL, VA","72308","00446139","1961-1990","","Median Value","cm","3.8","","3.3","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","COLUMBIA/METRO ARPT SC","72310","00381939","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ATHENS, GA","72311","00090435","1961-1990","","Median Value","cm","88888.8","1","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GREENVILLE/G-SPARTANBURG, SC","72312","00383747","1962-1990","","Median Value","cm","1.8","","2.5","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHARLOTTE/DOUGLAS INT'L ARPT NC","72314","00311690","1961-1990","","Median Value","cm","1.3","","2.0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","ASHEVILLE/REGIONAL, NC","72315","00310300","1964-1990","","Median Value","cm","11.4","","9.9","",".5","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","1.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","GREENSBORO/G.-HIGH PT., NC","72317","00313630","1961-1990","","Median Value","cm","2.0","","4.8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","HUNTSVILLE/MADISON COUNTY JET,AL","72323","00014064","1961-1990","","Median Value","cm","2.3","","1.0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","CHATTANOOGA/LOVELL FIELD, TN","72324","00401656","1961-1990","","Median Value","cm","4.1","",".3","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","KNOXVILLE/MUNICIPAL, TN","72326","00404950","1961-1990","","Median Value","cm","11.4","","8.6","",".8","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1",".5","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NASHVILLE/METRO ARPT TN","72327","00406402","1961-1990","","Median Value","cm","9.1","","5.6","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","1.0","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","MEMPHIS/WSCMO AP TN","72334","00405954","1961-1990","","Median Value","cm","3.3","",".5","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","NORTH LITTLE ROCK/ARPT AR","72340","00035320","1978-1990","","Median Value","cm","4.3","","2.8","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","FORT SMITH/MUNICIPAL, AR","72344","00032574","1961-1990","","Median Value","cm","1.5","","1.0","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".3","","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","WICHITA FALLS, TX","72351","00419729","1961-1990","","Median Value","cm",".8","","2.0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","-9999.9","2","-9999.9","2"
"UNITED STATES OF AMERICA","OKLAHOMA CITY/WSFO AP OK","72353","00346661","1961-1990","","Median Value","cm","2.3","","3.6","","88888.8","1",".0","",".0","",".0","",".0","",".0","",".0","",".0","","88888.8","1","3.3","","-9999.9","2","-9999.9","2"
